Price,Close,High,Low,Open,Volume
Ticker,WDAY,WDAY,WDAY,WDAY,WDAY
Datetime,,,,,
2025-04-04 13:30:00+00:00,226.5399932861328,226.9499969482422,225.0,225.64999389648438,46241
2025-04-04 13:32:00+00:00,226.2550048828125,227.1999969482422,226.2550048828125,226.88999938964844,39921
2025-04-04 13:34:00+00:00,226.72500610351562,227.25999450683594,225.5500030517578,226.2550048828125,33669
2025-04-04 13:36:00+00:00,226.09500122070312,227.02999877929688,225.64190673828125,226.72500610351562,44563
2025-04-04 13:38:00+00:00,225.81500244140625,226.5800018310547,225.0,226.5800018310547,57864
2025-04-04 13:40:00+00:00,223.89999389648438,225.80499267578125,223.5944061279297,225.80499267578125,50976
2025-04-04 13:42:00+00:00,224.77999877929688,224.8800048828125,223.7449951171875,223.91000366210938,19305
2025-04-04 13:44:00+00:00,225.38999938964844,225.38999938964844,224.16000366210938,224.75,29599
2025-04-04 13:46:00+00:00,226.23500061035156,226.57000732421875,224.80999755859375,225.03419494628906,22321
2025-04-04 13:48:00+00:00,226.2449951171875,226.89500427246094,226.01400756835938,226.22500610351562,45899
2025-04-04 13:50:00+00:00,226.75999450683594,227.17999267578125,226.3000030517578,226.3000030517578,34741
2025-04-04 13:52:00+00:00,226.92999267578125,227.1300048828125,226.3800048828125,226.61000061035156,36302
2025-04-04 13:54:00+00:00,225.5399932861328,226.92999267578125,225.38999938964844,226.92999267578125,18482
2025-04-04 13:56:00+00:00,226.64500427246094,226.6750030517578,225.36000061035156,225.75,18422
2025-04-04 13:58:00+00:00,227.41000366210938,227.81500244140625,226.99000549316406,226.99000549316406,13268
2025-04-04 14:00:00+00:00,226.53500366210938,227.49000549316406,226.53500366210938,227.41000366210938,26725
2025-04-04 14:02:00+00:00,226.89999389648438,227.22500610351562,226.33999633789062,226.5800018310547,37112
2025-04-04 14:04:00+00:00,226.6649932861328,227.05999755859375,226.50999450683594,226.8300018310547,10945
2025-04-04 14:06:00+00:00,226.4250030517578,226.48500061035156,226.00999450683594,226.47999572753906,12706
2025-04-04 14:08:00+00:00,225.8350067138672,226.47000122070312,225.7100067138672,226.46499633789062,16031
2025-04-04 14:10:00+00:00,224.58999633789062,225.625,224.47999572753906,225.5800018310547,15569
2025-04-04 14:12:00+00:00,224.5800018310547,224.77999877929688,224.1199951171875,224.77999877929688,18195
2025-04-04 14:14:00+00:00,224.1699981689453,224.75,224.1699981689453,224.34500122070312,11845
2025-04-04 14:16:00+00:00,224.94000244140625,225.13499450683594,223.88999938964844,224.1750030517578,25000
2025-04-04 14:18:00+00:00,225.19500732421875,225.27999877929688,224.80999755859375,225.16000366210938,12302
2025-04-04 14:20:00+00:00,225.8800048828125,225.9324951171875,225.0,225.05999755859375,17963
2025-04-04 14:22:00+00:00,225.72000122070312,225.8800048828125,225.5800018310547,225.77999877929688,12118
2025-04-04 14:24:00+00:00,226.1750030517578,226.27000427246094,225.52000427246094,225.72500610351562,31016
2025-04-04 14:26:00+00:00,226.27999877929688,226.33999633789062,225.91000366210938,226.25999450683594,24979
2025-04-04 14:28:00+00:00,225.8300018310547,226.52499389648438,225.61000061035156,226.27999877929688,22152
2025-04-04 14:30:00+00:00,225.4600067138672,226.07000732421875,225.3699951171875,225.75999450683594,30523
2025-04-04 14:32:00+00:00,225.88999938964844,225.88999938964844,225.1999969482422,225.5850067138672,21216
2025-04-04 14:34:00+00:00,225.8000030517578,225.92999267578125,225.46499633789062,225.77999877929688,45804
2025-04-04 14:36:00+00:00,225.3249969482422,225.61500549316406,224.89500427246094,225.61500549316406,24723
2025-04-04 14:38:00+00:00,225.8000030517578,225.9199981689453,225.36000061035156,225.47000122070312,14167
2025-04-04 14:40:00+00:00,225.56500244140625,225.72500610351562,225.1199951171875,225.72500610351562,19636
2025-04-04 14:42:00+00:00,225.2449951171875,225.75,225.2100067138672,225.71499633789062,9680
2025-04-04 14:44:00+00:00,224.57000732421875,225.44000244140625,224.35499572753906,225.4199981689453,12108
2025-04-04 14:46:00+00:00,224.00999450683594,224.4499969482422,223.9199981689453,224.4499969482422,11616
2025-04-04 14:48:00+00:00,223.40719604492188,223.97000122070312,223.40719604492188,223.9250030517578,12339
2025-04-04 14:50:00+00:00,223.67999267578125,223.8300018310547,222.67999267578125,223.27000427246094,22773
2025-04-04 14:52:00+00:00,224.42999267578125,224.85000610351562,223.85000610351562,223.85000610351562,24874
2025-04-04 14:54:00+00:00,223.9499969482422,224.60000610351562,223.9499969482422,224.53500366210938,16553
2025-04-04 14:56:00+00:00,224.77000427246094,224.77999877929688,223.8300018310547,223.8699951171875,28700
2025-04-04 14:58:00+00:00,224.8000030517578,225.2899932861328,224.63999938964844,224.75999450683594,23272
2025-04-04 15:00:00+00:00,226.35000610351562,226.94000244140625,224.47500610351562,224.60000610351562,29428
2025-04-04 15:02:00+00:00,226.5050048828125,226.7100067138672,226.14999389648438,226.17999267578125,16775
2025-04-04 15:04:00+00:00,226.88999938964844,227.125,226.5050048828125,226.5050048828125,18051
2025-04-04 15:06:00+00:00,225.10000610351562,226.6999969482422,225.10000610351562,226.6999969482422,70861
2025-04-04 15:08:00+00:00,225.2449951171875,225.6199951171875,225.1999969482422,225.36000061035156,8544
2025-04-04 15:10:00+00:00,226.02920532226562,226.07000732421875,225.25,225.38999938964844,8383
2025-04-04 15:12:00+00:00,226.5800018310547,226.6649932861328,226.27999877929688,226.3300018310547,14385
2025-04-04 15:14:00+00:00,226.74000549316406,226.84500122070312,226.52999877929688,226.75999450683594,34288
2025-04-04 15:16:00+00:00,226.3699951171875,226.7100067138672,225.8000030517578,226.6649932861328,13116
2025-04-04 15:18:00+00:00,226.3800048828125,226.9600067138672,226.22000122070312,226.8699951171875,12153
2025-04-04 15:20:00+00:00,226.73500061035156,226.9499969482422,226.14999389648438,226.39999389648438,46869
2025-04-04 15:22:00+00:00,226.22999572753906,226.67999267578125,226.14999389648438,226.49000549316406,22024
2025-04-04 15:24:00+00:00,225.5050048828125,226.61000061035156,225.33999633789062,226.49000549316406,21287
2025-04-04 15:26:00+00:00,225.0399932861328,225.50999450683594,224.9199981689453,225.32000732421875,22522
2025-04-04 15:28:00+00:00,224.72239685058594,225.64999389648438,224.72239685058594,225.07000732421875,22442
2025-04-04 15:30:00+00:00,224.97000122070312,225.30999755859375,224.7899932861328,224.7899932861328,20128
2025-04-04 15:32:00+00:00,224.5399932861328,224.91250610351562,224.5399932861328,224.91250610351562,11193
2025-04-04 15:34:00+00:00,224.47999572753906,224.7725067138672,224.3300018310547,224.6750030517578,22660
2025-04-04 15:36:00+00:00,224.0,224.36500549316406,223.83999633789062,224.36500549316406,32733
2025-04-04 15:38:00+00:00,224.1999969482422,224.60000610351562,223.80929565429688,223.80929565429688,51799
2025-04-04 15:40:00+00:00,223.84500122070312,224.1999969482422,223.64999389648438,224.13999938964844,22019
2025-04-04 15:42:00+00:00,224.10499572753906,224.24000549316406,223.72999572753906,224.02999877929688,19311
2025-04-04 15:44:00+00:00,223.81500244140625,224.5050048828125,223.5449981689453,224.3000030517578,17531
2025-04-04 15:46:00+00:00,224.23500061035156,224.52499389648438,223.64999389648438,223.91000366210938,36182
2025-04-04 15:48:00+00:00,224.35000610351562,224.52000427246094,224.1436004638672,224.47999572753906,15928
2025-04-04 15:50:00+00:00,223.55999755859375,224.3800048828125,223.55999755859375,224.10000610351562,12979
2025-04-04 15:52:00+00:00,223.17999267578125,224.16000366210938,223.10000610351562,223.6199951171875,20633
2025-04-04 15:54:00+00:00,223.38999938964844,223.6699981689453,223.01499938964844,223.01499938964844,18450
2025-04-04 15:56:00+00:00,223.2899932861328,223.57000732421875,223.2050018310547,223.38999938964844,25615
2025-04-04 15:58:00+00:00,222.35000610351562,223.08999633789062,222.33999633789062,223.08999633789062,6368
2025-04-04 16:00:00+00:00,222.94000244140625,223.0399932861328,222.2624969482422,222.2624969482422,11576
2025-04-04 16:02:00+00:00,223.08999633789062,223.3300018310547,222.55999755859375,222.7899932861328,44958
2025-04-04 16:04:00+00:00,223.49000549316406,223.5,222.94000244140625,223.1475067138672,18086
2025-04-04 16:06:00+00:00,222.7949981689453,223.58999633789062,222.7949981689453,223.38999938964844,28100
2025-04-04 16:08:00+00:00,222.82000732421875,223.1699981689453,222.77999877929688,222.7949981689453,6520
