step,price,action,balance,holdings,asset
31,340.28009033203125,0.3294071555137634,6937.479187011719,9,10000.0
31,340.28009033203125,0.2648724913597107,7618.039367675781,7,10000.0
31,340.28009033203125,0.19130797684192657,8298.599548339844,5,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-0.557646632194519,10000.0,0,10000.0
31,340.28009033203125,-0.9607611894607544,10000.0,0,10000.0
31,340.28009033203125,-0.7692750692367554,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.14488917589187622,8638.879638671875,4,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-0.5295640826225281,10000.0,0,10000.0
31,340.28009033203125,-0.17552998661994934,10000.0,0,10000.0
31,340.28009033203125,0.399935781955719,6256.919006347656,11,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.6053600311279297,4215.238464355469,17,10000.0
31,340.28009033203125,-0.6496655941009521,10000.0,0,10000.0
31,340.28009033203125,-0.8034181594848633,10000.0,0,10000.0
31,340.28009033203125,0.6607998609542847,3534.6782836914062,19,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.6323146820068359,10000.0,0,10000.0
31,340.28009033203125,-0.95876145362854,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,0.4489942193031311,5576.358825683594,13,10000.0
31,340.28009033203125,0.042607612907886505,9659.719909667969,1,10000.0
31,340.28009033203125,-0.5500668287277222,10000.0,0,10000.0
31,340.28009033203125,0.6981930732727051,3194.398193359375,20,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,0.012669519521296024,10000.0,0,10000.0
31,340.28009033203125,0.5302314758300781,4895.798645019531,15,10000.0
31,340.28009033203125,-0.5111455321311951,10000.0,0,10000.0
31,340.28009033203125,-0.5945039987564087,10000.0,0,10000.0
31,340.28009033203125,-0.899803876876831,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.8748831748962402,10000.0,0,10000.0
31,340.28009033203125,0.25055447220802307,7618.039367675781,7,10000.0
31,340.28009033203125,0.8612000346183777,1833.27783203125,24,10000.0
31,340.28009033203125,-0.016514122486114502,10000.0,0,10000.0
31,340.28009033203125,0.0789891704916954,9319.439819335938,2,10000.0
31,340.28009033203125,-0.6088393330574036,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.18902888894081116,10000.0,0,10000.0
31,340.28009033203125,-0.6314371824264526,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-0.6752838492393494,10000.0,0,10000.0
31,340.28009033203125,-0.14121077954769135,10000.0,0,10000.0
31,340.28009033203125,0.4299237132072449,5916.638916015625,12,10000.0
31,340.28009033203125,0.13959795236587524,8638.879638671875,4,10000.0
31,340.28009033203125,0.9516352415084839,812.4375610351562,27,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.06418202817440033,9659.719909667969,1,10000.0
31,340.28009033203125,-0.5898093581199646,10000.0,0,10000.0
31,340.28009033203125,-0.7964495420455933,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.45330095291137695,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-0.3014838397502899,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.4246647357940674,5916.638916015625,12,10000.0
31,340.28009033203125,-0.6332889795303345,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.41954582929611206,10000.0,0,10000.0
31,340.28009033203125,0.5014001727104187,5236.0787353515625,14,10000.0
31,340.28009033203125,0.43094751238822937,5916.638916015625,12,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.5479854941368103,4895.798645019531,15,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.2871493995189667,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,-0.02801419049501419,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.09981301426887512,9319.439819335938,2,10000.0
31,340.28009033203125,0.24992436170578003,7618.039367675781,7,10000.0
31,340.28009033203125,0.6207562685012817,3874.9583740234375,18,10000.0
31,340.28009033203125,0.7632358074188232,2513.8380126953125,22,10000.0
31,340.28009033203125,-0.8127243518829346,10000.0,0,10000.0
31,340.28009033203125,0.4082391560077667,6256.919006347656,11,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.727475106716156,2854.1181030273438,21,10000.0
31,340.28009033203125,-0.6789808869361877,10000.0,0,10000.0
31,340.28009033203125,-0.967807412147522,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
