step,price,action,balance,holdings,asset
31,340.28009033203125,0.5183743238449097,4895.798645019531,15,10000.0
31,340.28009033203125,-0.7702914476394653,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,-0.17293816804885864,10000.0,0,10000.0
31,340.28009033203125,0.82188880443573,2173.5579223632812,23,10000.0
31,340.28009033203125,-0.7485044002532959,10000.0,0,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,0.436715692281723,5916.638916015625,12,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.23248974978923798,7958.3194580078125,6,10000.0
31,340.28009033203125,0.549562394618988,4895.798645019531,15,10000.0
31,340.28009033203125,-0.682849109172821,10000.0,0,10000.0
31,340.28009033203125,-0.6198872327804565,10000.0,0,10000.0
31,340.28009033203125,0.7014908790588379,3194.398193359375,20,10000.0
31,340.28009033203125,-0.16467861831188202,10000.0,0,10000.0
31,340.28009033203125,-1.0,10000.0,0,10000.0
31,340.28009033203125,0.6122251749038696,4215.238464355469,17,10000.0
31,340.28009033203125,0.04252711683511734,9659.719909667969,1,10000.0
31,340.28009033203125,0.632870614528656,3874.9583740234375,18,10000.0
31,340.28009033203125,0.18640291690826416,8298.599548339844,5,10000.0
31,340.28009033203125,0.4972737729549408,5236.0787353515625,14,10000.0
31,340.28009033203125,-0.7902277708053589,10000.0,0,10000.0
31,340.28009033203125,-0.07783295214176178,10000.0,0,10000.0
31,340.28009033203125,-0.5408417582511902,10000.0,0,10000.0
31,340.28009033203125,0.8606882095336914,1833.27783203125,24,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,0.46308818459510803,5576.358825683594,13,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
31,340.28009033203125,0.45073387026786804,5576.358825683594,13,10000.0
31,340.28009033203125,1.0,131.87738037109375,29,10000.0
